BLUE_TOP,BLUE_JUNGLE,BLUE_MIDDLE,BLUE_BOTTOM,BLUE_UTILITY,RED_WINNER,RED_TOP,RED_JUNGLE,RED_MIDDLE,RED_BOTTOM,RED_UTILITY
Poppy,Nunu,Qiyana,Yunara,Nidalee,False,Zeri,Ekko,Zoe,Jinx,Alistar
Jayce,MonkeyKing,Orianna,Hwei,Alistar,True,Rumble,RekSai,Annie,Sivir,Bard
Jax,Zac,Azir,Tristana,Taric,True,Rumble,Rammus,Zed,Yunara,Neeko
Darius,MonkeyKing,Viktor,Senna,Rakan,False,Vayne,Brand,Taliyah,Jhin,Pantheon
MonkeyKing,Kindred,KSante,Yunara,Karma,True,Zeri,Volibear,Corki,Ashe,Rell
Viego,Rengar,Taliyah,Mordekaiser,Blitzcrank,True,Olaf,Talon,Ryze,Nilah,Anivia
Sion,RekSai,Galio,Yunara,Neeko,False,Ambessa,Qiyana,Annie,Tristana,Rell
Vayne,Poppy,Aurora,Yunara,Alistar,False,Viego,Nautilus,Taliyah,Kalista,Renata
Irelia,Hecarim,Gwen,Caitlyn,Milio,True,Rumble,Nautilus,Jayce,Corki,Bard
Rumble,Talon,Lissandra,Kalista,Renata,True,Viego,Nocturne,Orianna,Sion,Soraka
Gwen,Volibear,Lissandra,Aphelios,Senna,False,Camille,RekSai,Fizz,Swain,Nami
Viego,Nunu,Aurora,Draven,Neeko,False,Gwen,Kindred,Galio,Lucian,Braum
Ambessa,Pantheon,Swain,Mel,Bard,False,Sion,Belveth,Annie,Samira,Seraphine
Sylas,LeeSin,Akshan,Jinx,Braum,False,Riven,Belveth,Yasuo,Kalista,Lulu
Galio,Kindred,Viego,Aphelios,Soraka,True,Jax,Belveth,Lissandra,Jhin,Nidalee
Viego,Nautilus,Kennen,Aphelios,Braum,True,Sion,MasterYi,Lissandra,Kalista,Renata
Jayce,Ambessa,KSante,Ziggs,Elise,True,Draven,Brand,Aurora,Lucian,Nautilus
Ambessa,Kayn,Nocturne,Aphelios,Neeko,True,Renekton,JarvanIV,Akali,Ashe,Senna
Garen,Brand,Sion,Aphelios,Lulu,False,Ambessa,Zed,Vladimir,Draven,Senna
Yorick,Brand,Viego,Xayah,Nautilus,True,Irelia,Trundle,Vladimir,Lucian,Maokai
Gwen,Rengar,Zoe,Yunara,Nautilus,True,Ambessa,Ekko,Viego,Draven,Pyke
Gwen,Pantheon,Morgana,Aphelios,Lulu,False,Jayce,MonkeyKing,Aurora,Yunara,Pyke
KSante,Kayn,Galio,Ezreal,Sona,True,Jayce,Naafiri,Akshan,Swain,Nami
Gragas,Kayn,Sylas,Lucian,Pyke,False,Sion,Trundle,Aurora,Smolder,Nami
Garen,Rengar,Leblanc,Jhin,Nautilus,False,Aurora,Qiyana,Azir,Corki,Braum
Irelia,Trundle,TwistedFate,Twitch,Yuumi,True,Annie,Belveth,,Yunara,Nautilus
Irelia,MasterYi,Azir,Varus,Neeko,False,MonkeyKing,Jayce,Leblanc,MissFortune,Soraka
Fiora,Aatrox,Aurora,Mel,Neeko,False,Renekton,Qiyana,Lucian,Xerath,Karma
Gwen,Aatrox,Yone,Yunara,Leona,False,Jayce,Hecarim,Sylas,Draven,Sona
Gwen,Hecarim,Galio,Kaisa,Janna,True,Jayce,Qiyana,Sylas,Aphelios,Nami
Yone,JarvanIV,Sylas,Caitlyn,Elise,True,Irelia,Malphite,Akali,Sivir,Thresh
Zed,Rammus,Akshan,Jinx,Karma,True,Renekton,Zac,Ekko,Lucian,Nami
KSante,Hecarim,Orianna,Aphelios,Lulu,True,Yorick,Vi,Taliyah,Draven,Elise
Gwen,Zac,Lucian,Jhin,Karma,False,Aatrox,LeeSin,Viktor,Yunara,Janna
Akshan,Vi,Orianna,Veigar,Leona,False,Vladimir,Viego,Gangplank,Twitch,Neeko
Gangplank,Viego,Orianna,Yunara,Alistar,True,Zeri,Zac,Taliyah,Senna,Neeko
Warwick,Elise,Corki,Zyra,TahmKench,False,Jax,Belveth,Aurora,Kaisa,Nautilus
Quinn,Trundle,Ziggs,Ashe,Brand,True,Kled,Ekko,Viktor,Yunara,Karma
Riven,Ambessa,Katarina,Karthus,Poppy,False,Aurora,Khazix,Akali,Smolder,Rell
Aatrox,Shaco,Hwei,Yunara,Sona,False,Jayce,Kindred,Neeko,MissFortune,Thresh
Jayce,Karthus,Aurora,Lucian,Nautilus,False,Rumble,Volibear,Yone,Yunara,Braum
Jayce,JarvanIV,Fizz,Yunara,Lulu,False,Irelia,Viego,Shen,Varus,Karma
Gwen,JarvanIV,Fizz,Yunara,Illaoi,False,Mordekaiser,LeeSin,Syndra,Kaisa,Blitzcrank
Gwen,JarvanIV,Ryze,Lucian,Nami,False,Jax,MonkeyKing,Sylas,Karthus,Poppy
Sion,Nunu,LeeSin,Kaisa,Pyke,False,Rumble,JarvanIV,Orianna,Lucian,Nautilus
Gwen,Nunu,Swain,Yunara,Karma,False,Ambessa,XinZhao,Kennen,Lucian,Braum
Ambessa,Nocturne,Viktor,Corki,Anivia,False,Riven,LeeSin,Vladimir,Jhin,Nami
Ambessa,XinZhao,Ryze,Lucian,Milio,True,Renekton,Viego,Aurora,Sivir,Karma
Poppy,Nocturne,Akali,Yunara,Soraka,False,Aurora,Trundle,Viktor,Samira,Rell
Aatrox,Hecarim,Aurora,Xayah,Lulu,True,KSante,Kayn,Lissandra,Tristana,Leona
Gwen,Viego,Aurora,Yunara,Pyke,True,Fiora,Belveth,Galio,Lucian,Sona
Ambessa,Mordekaiser,Corki,Senna,TahmKench,True,Aatrox,Vi,Viktor,Yunara,Bard
MonkeyKing,XinZhao,Orianna,Yunara,Sona,False,Renekton,Poppy,Zilean,Jhin,Neeko
Rumble,Trundle,Jhin,Varus,Seraphine,False,Gragas,RekSai,Syndra,Yasuo,Thresh
Ambessa,MonkeyKing,Fizz,Lucian,Sona,True,Gwen,JarvanIV,Riven,Twitch,Nami
Yasuo,LeeSin,Annie,Yunara,Janna,False,Sion,JarvanIV,Aurora,Kaisa,Nautilus
Jayce,Khazix,Ziggs,Caitlyn,Zyra,True,Camille,LeeSin,Sylas,Corki,Alistar
Jayce,Shaco,Lux,Jinx,Nautilus,False,Yorick,Ekko,Orianna,MissFortune,Alistar
Ambessa,Amumu,Yone,Yunara,Neeko,False,Yorick,JarvanIV,Orianna,Caitlyn,Karma
Ambessa,Nunu,Aurora,Twitch,Poppy,True,Yone,JarvanIV,Syndra,MissFortune,Galio
Ornn,Khazix,Sylas,Tristana,Alistar,False,Chogath,Viego,Yone,Kaisa,Karma
Jayce,Viego,Renekton,Ziggs,Nautilus,False,Jax,Diana,Ambessa,Yasuo,Poppy
Jayce,Viego,Azir,Yunara,Xerath,True,Malphite,Mordekaiser,Akshan,Sivir,Pyke
Sion,Nidalee,Yone,Draven,Pyke,True,Kennen,Volibear,Aurora,Yunara,Karma
Sylas,Viego,Teemo,Sivir,Pyke,False,Aurora,Nunu,Fiora,Yunara,Alistar
Gwen,Talon,Nunu,Lux,Pyke,False,Irelia,JarvanIV,Ivern,Draven,Nautilus
Jayce,Viego,Orianna,Aphelios,Braum,True,Azir,JarvanIV,Akali,Draven,Pyke
Aatrox,Elise,Zed,Corki,Pyke,False,Sett,Viego,Mel,Twitch,Alistar
Shen,Viego,Leblanc,Draven,Zyra,True,Gwen,Qiyana,Mel,Vayne,Karma
Gnar,XinZhao,Aurora,Xayah,Renata,False,Irelia,Nidalee,Corki,Kaisa,Pyke
Gwen,Belveth,Taliyah,Aphelios,Pyke,False,Fiora,Poppy,Lissandra,Ezreal,Sona
Lulu,Zyra,Yasuo,Varus,Pyke,True,Irelia,Poppy,Hwei,Caitlyn,Karma
Kennen,Tryndamere,Hwei,Jhin,Bard,False,Yasuo,MonkeyKing,Syndra,Ezreal,Karma
Gwen,JarvanIV,Taliyah,Jhin,Rell,False,Quinn,Nocturne,AurelionSol,Senna,Sona
Fiora,Zed,Annie,Swain,FiddleSticks,False,Jayce,JarvanIV,Ahri,Jhin,Karma
Renekton,Rammus,Corki,Ziggs,Poppy,True,Aurora,Belveth,Gangplank,Jhin,Karma
Ambessa,Ekko,Pantheon,Ziggs,Rakan,True,Renekton,Qiyana,Lux,Varus,Nami
Sion,Gwen,Naafiri,Kaisa,Rell,True,Ambessa,Hecarim,Ryze,Yunara,Zilean
Aurora,Zed,Ahri,Kaisa,Alistar,True,Jayce,Volibear,Kindred,Corki,Lulu
Gwen,MonkeyKing,Akali,Corki,Rell,False,Vladimir,Trundle,Twitch,Draven,Poppy
Poppy,Nidalee,Renekton,Jhin,Milio,False,Aurora,JarvanIV,Zed,Lux,Sona
Sion,XinZhao,Diana,Senna,Nautilus,False,Ambessa,Khazix,Kassadin,Ziggs,Anivia
Vladimir,Trundle,Viktor,Corki,Sona,True,Yasuo,JarvanIV,Azir,Senna,TahmKench
DrMundo,RekSai,Vladimir,Twitch,Rell,True,Yone,JarvanIV,TwistedFate,Yunara,Zilean
Ambessa,JarvanIV,Anivia,Jhin,TwistedFate,True,Gangplank,RekSai,Syndra,Twitch,Camille
Gwen,Nidalee,Corki,Jhin,Rakan,True,Jax,JarvanIV,Annie,Yunara,Karma
Renekton,Zac,TwistedFate,MissFortune,Sona,True,Ambessa,RekSai,Ahri,Ziggs,Rell
Ambessa,Zed,Sylas,Ashe,Lulu,False,Aatrox,Vi,Lissandra,Jhin,Sona
Gragas,JarvanIV,TwistedFate,Draven,Nautilus,False,Yone,Nidalee,Riven,Yunara,Shen
Ambessa,JarvanIV,Galio,Yunara,Lulu,False,Irelia,Trundle,Sylas,Draven,Nami
Ambessa,Graves,Akali,Corki,Rakan,False,Aatrox,Zed,Orianna,Senna,Bard
Shen,Nocturne,Orianna,Yunara,Leblanc,False,Aurora,Ambessa,Vladimir,Jinx,Pyke
Gwen,Qiyana,Syndra,Twitch,Pantheon,False,Ryze,Sejuani,Leblanc,Yunara,Nautilus
Gwen,Kindred,Corki,Tristana,Maokai,False,Riven,Nocturne,Galio,Yunara,Braum
Irelia,Graves,Nocturne,Jinx,Bard,True,KSante,Kayn,Aurora,Corki,Brand
Ambessa,Kayn,Anivia,Senna,Alistar,False,Renekton,XinZhao,Nunu,MissFortune,Rakan
Riven,MonkeyKing,Nunu,Jhin,Rell,True,Renekton,Vi,Aurora,Lux,Rakan
Kayle,Morgana,Sylas,Yunara,Rakan,True,Singed,JarvanIV,Kassadin,Jhin,Neeko
Aurora,MonkeyKing,Yasuo,Ziggs,Rakan,True,Aatrox,Belveth,Neeko,Yunara,Lissandra
Renekton,Ekko,Swain,Jhin,Alistar,False,Gangplank,Hecarim,Sylas,Lucian,Braum
Jayce,Khazix,Vladimir,Corki,Bard,False,Quinn,Trundle,Azir,KogMaw,TahmKench
Gwen,Kayn,Vladimir,Smolder,Nidalee,True,Poppy,Rengar,Cassiopeia,Corki,Neeko
Garen,Viego,Orianna,KogMaw,Milio,False,Yasuo,Taliyah,Viktor,Ashe,Lulu
Renekton,Nidalee,TwistedFate,Tristana,Bard,True,Jax,Qiyana,Vladimir,Yunara,Pyke
Renekton,JarvanIV,Leblanc,Corki,Rell,False,Jayce,Taliyah,TwistedFate,Lucian,Pyke
Jax,Ekko,Zed,Kaisa,Braum,True,Rumble,Nidalee,Akshan,Yasuo,Poppy
Sejuani,Vi,Hwei,Aphelios,Braum,True,Camille,Nocturne,Akali,Corki,Rakan
Warwick,MonkeyKing,Akali,Ashe,Neeko,False,Azir,LeeSin,Darius,Jhin,Sona
Shen,XinZhao,Neeko,Tristana,Karma,True,Gangplank,JarvanIV,TwistedFate,Xayah,Rell
Sion,XinZhao,Vladimir,Sivir,Lulu,True,Aatrox,Qiyana,Akali,Ezreal,Soraka
Jax,Kindred,Galio,Ziggs,Gragas,False,Malphite,Trundle,Smolder,Jinx,Lulu
Irelia,Teemo,Shen,Sivir,Sona,True,Aurora,LeeSin,Zoe,Nilah,Lulu
Volibear,Ekko,Ornn,Vayne,Alistar,True,Yone,Taliyah,Ryze,Smolder,Leona
Rumble,Nocturne,Qiyana,Jinx,Nautilus,False,Gwen,Viego,Annie,Kaisa,Rell
Rumble,MonkeyKing,Xerath,Kaisa,Galio,False,Kennen,JarvanIV,Azir,Varus,Leona
Sion,LeeSin,Ekko,Neeko,Rakan,True,Teemo,Zed,Ornn,Yunara,Karma
Jax,Nocturne,Ahri,Caitlyn,Blitzcrank,False,Ambessa,Vi,Sylas,Lux,Karma
Renekton,XinZhao,Lissandra,Hwei,Karma,False,Sion,Naafiri,Aurora,Zeri,Rakan
Gwen,Volibear,Veigar,Aphelios,Sona,True,Fiora,Ivern,Viktor,Kaisa,TahmKench
Riven,JarvanIV,Brand,Nilah,Fiora,True,Jayce,Volibear,Ahri,Lucian,Alistar
Lissandra,Talon,Vayne,Lux,Nami,False,Lucian,LeeSin,Orianna,Caitlyn,Neeko
Jayce,Lillia,Yasuo,Swain,DrMundo,True,Irelia,Viego,Heimerdinger,Sivir,Rakan
Gwen,Nocturne,Ryze,Yunara,Thresh,True,Jax,Lillia,Taliyah,Sivir,Janna
Gwen,Elise,Sejuani,Jinx,DrMundo,False,Tryndamere,Lillia,Lissandra,Yunara,Morgana
Yone,Pantheon,Anivia,Corki,Bard,True,Jax,Ivern,Garen,Yunara,Zyra
Garen,Mordekaiser,Gwen,Tristana,Leona,False,Jax,Nocturne,Syndra,Jhin,Braum
Aurora,Khazix,Hwei,Aphelios,Sona,True,Jayce,Zed,Ahri,Jinx,Pyke
Heimerdinger,XinZhao,Caitlyn,Kaisa,Nami,False,Zeri,Skarner,Vex,Lucian,Sona
Jax,MonkeyKing,Taliyah,Lucian,Sona,False,Heimerdinger,Udyr,Caitlyn,Varus,Rell
Jayce,Rengar,Katarina,Ezreal,Lulu,True,Camille,LeeSin,Aurora,Zyra,Thresh
Heimerdinger,Hecarim,Neeko,Kaisa,Nautilus,False,Vladimir,LeeSin,Orianna,Xayah,Nami
Rumble,Ambessa,Syndra,Lucian,Yuumi,True,Gwen,Khazix,Ryze,Akshan,Braum
Heimerdinger,Nocturne,Syndra,Lucian,Rell,False,Irelia,JarvanIV,Kaisa,Smolder,Alistar
Jayce,XinZhao,Vladimir,Tristana,Poppy,False,Ambessa,Volibear,Corki,Kaisa,Leona
Gragas,Zed,Tryndamere,Jhin,Bard,True,Jax,Nidalee,Orianna,Sivir,Rell
Sion,Hecarim,Annie,Tristana,Thresh,False,Aatrox,Zed,Taliyah,Yunara,Karma
Renekton,Ekko,LeeSin,Sivir,Bard,True,Jax,Janna,Zed,Lux,
Rumble,Volibear,Yone,Ezreal,Yuumi,True,Aurora,Vi,Orianna,Kaisa,Nautilus
Jayce,FiddleSticks,Yone,MissFortune,Pyke,True,Ambessa,Gwen,Irelia,Yunara,Karma
Gwen,LeeSin,Seraphine,Caitlyn,Karma,True,Heimerdinger,Ivern,Zoe,Lucian,Milio
Jax,Shyvana,Brand,Varus,Alistar,True,Fiora,Udyr,Yasuo,Ezreal,Rell
Sion,Volibear,Taliyah,Kalista,Neeko,False,Yone,Trundle,Azir,Senna,Alistar
Aurora,Trundle,Galio,Kaisa,Rell,True,Sion,Khazix,Leblanc,Zeri,Rakan
Sion,XinZhao,Ryze,Tristana,Nami,False,Yorick,Hecarim,Talon,Zeri,Lulu
Gwen,Vi,Irelia,Kaisa,Shen,False,Jax,JarvanIV,Ryze,Lucian,Nami
Renekton,Nidalee,Akshan,Ziggs,Pyke,True,Shen,Hecarim,Qiyana,Jhin,Sona
Aurora,MonkeyKing,Viktor,Yunara,Alistar,False,Gragas,JarvanIV,Lux,Sivir,Bard
Gwen,Belveth,Galio,Corki,Nautilus,False,Fiora,Nunu,Azir,Caitlyn,Braum
Nidalee,Nocturne,Irelia,Lux,Zoe,True,Riven,Zac,Yone,Yasuo,Blitzcrank
Gwen,Nocturne,Orianna,Yunara,Rell,True,Kennen,Qiyana,Galio,Jinx,Thresh
Gwen,Rengar,Yunara,Jinx,Nidalee,True,Jax,JarvanIV,Karma,Aphelios,Thresh
Ambessa,Nidalee,Yone,Twitch,Nautilus,False,Camille,Trundle,Zoe,Lucian,Blitzcrank
Jayce,Udyr,Zoe,Tristana,Thresh,True,Irelia,Vi,Galio,Lucian,Rell
Gwen,MonkeyKing,Zoe,Yunara,Lulu,True,Vladimir,Viego,Tristana,Lucian,Milio
Vayne,XinZhao,Galio,Mel,Alistar,False,KSante,Hecarim,Orianna,Ezreal,Poppy
Ambessa,DrMundo,Lissandra,Yunara,Alistar,True,Vladimir,Hecarim,Ryze,Lucian,Rell
Jax,Hecarim,Aurora,Kaisa,Poppy,False,Urgot,Gragas,Vladimir,Zyra,Rell
Camille,JarvanIV,Gragas,Varus,Soraka,True,Ambessa,Hecarim,Veigar,Zyra,Taric
Gwen,Viego,Gragas,Xayah,Rakan,False,Nocturne,Hecarim,Viktor,Draven,Sona
Tryndamere,MonkeyKing,Vex,Kaisa,Yuumi,False,Fiora,Vi,Zed,Corki,Thresh
Ambessa,Elise,Yone,Ziggs,Seraphine,False,Rumble,JarvanIV,Kennen,Senna,Rakan
Akshan,Karthus,Jax,Samira,TahmKench,True,Aurora,Khazix,Tryndamere,Mel,Rakan
Quinn,Hecarim,Syndra,Yunara,Rakan,True,Aurora,Vi,Tristana,Sivir,Karma
Camille,Graves,Ekko,Ziggs,Senna,False,Gwen,Viego,Annie,Aphelios,Karma
Vladimir,Talon,Ekko,Smolder,Milio,True,Gragas,Viego,Lissandra,Yunara,Thresh
Tryndamere,Elise,Tristana,Twitch,Rakan,True,Aurora,Khazix,Orianna,Jhin,Galio
Yasuo,Kayn,Lissandra,Sivir,Nami,True,Riven,Shaco,Vladimir,Ezreal,Alistar
Yasuo,MasterYi,Viktor,Ezreal,Karma,False,Renekton,JarvanIV,Katarina,Sivir,Yuumi
Riven,Zac,Ahri,Twitch,Rakan,True,Jax,Viego,Lux,Lucian,Nami
Yone,MasterYi,Galio,Kaisa,Alistar,False,Ornn,LeeSin,Sylas,MissFortune,Poppy
Jax,JarvanIV,Sylas,Aphelios,Blitzcrank,False,Jayce,MonkeyKing,Ahri,Jinx,Lulu
Ambessa,Ekko,Malzahar,Ashe,Braum,False,Gwen,Rengar,Fizz,Yunara,Nautilus
Ambessa,FiddleSticks,Naafiri,Smolder,Bard,False,Gragas,MonkeyKing,Orianna,Zyra,Senna
Yorick,Khazix,Swain,Yunara,Braum,True,Irelia,Viego,Akali,Kaisa,Neeko
Ambessa,Trundle,Viktor,Ashe,Sona,False,Caitlyn,JarvanIV,Neeko,Kaisa,Morgana
Ornn,Nocturne,Orianna,Ziggs,Teemo,True,Rumble,Viego,Sylas,Jhin,Sona
Teemo,Karthus,Jayce,Jhin,Elise,True,Rumble,Belveth,Ekko,Jinx,Lulu
Ambessa,Ekko,Corki,Yunara,Bard,True,Jayce,Graves,Orianna,KogMaw,Neeko
Kayle,JarvanIV,Gragas,Corki,Sona,False,Yone,Zed,Ivern,Ezreal,Karma
Ambessa,Hecarim,Viktor,Corki,Nami,False,Gragas,Ekko,Tristana,Ezreal,Alistar
Aatrox,Rumble,Lissandra,Vayne,Neeko,True,Irelia,Zyra,Azir,Lucian,Nami
Ambessa,Ekko,Orianna,Tristana,Lulu,False,Aurora,XinZhao,Viktor,Lucian,Alistar
Riven,JarvanIV,Naafiri,Ziggs,Nami,False,Jayce,XinZhao,Orianna,Jinx,Soraka
KSante,Jax,Akali,Udyr,Annie,True,Rumble,XinZhao,Hwei,Tristana,Galio
Jax,JarvanIV,Akali,Senna,Morgana,True,Sion,Viego,Yone,Lux,Zoe
Jax,Zac,Vladimir,Kaisa,Pyke,True,Jayce,Brand,Anivia,Vayne,Zoe
Renekton,LeeSin,Lissandra,Smolder,Pyke,True,Vayne,JarvanIV,TwistedFate,Ziggs,Bard
Vladimir,JarvanIV,Karma,Yunara,Milio,False,Gangplank,Viego,Aurora,Hwei,Soraka
Jax,MasterYi,Azir,Lux,Neeko,False,Riven,Karthus,Veigar,Yasuo,Alistar
Ambessa,Evelynn,Akshan,Yasuo,Neeko,False,Renekton,JarvanIV,Vex,Lucian,Karma
Yone,Diana,Viktor,Lucian,Leona,False,Nasus,Talon,Kassadin,Ezreal,Braum
Vayne,Kindred,Pantheon,Ezreal,Bard,False,Yone,LeeSin,KSante,Tristana,Sona
Ambessa,Naafiri,Singed,Zeri,Janna,False,Kayle,Qiyana,Morgana,Tristana,Nami
Warwick,Volibear,Vayne,Yunara,Milio,True,Varus,Nidalee,Riven,Jinx,Nami
Yasuo,JarvanIV,Vladimir,Nilah,Karma,False,Chogath,LeeSin,Sylas,Yunara,Zilean
Quinn,Volibear,Sylas,Smolder,Thresh,True,Lucian,Udyr,Yasuo,Xerath,Karma
Vladimir,Briar,Lux,Yunara,Karma,True,Akshan,JarvanIV,Nasus,Zeri,Janna
Ambessa,Belveth,Akshan,Yunara,Maokai,False,Gragas,Rengar,Vladimir,Senna,Karma
Vladimir,Pantheon,Corki,Jinx,Nami,True,Ornn,Shaco,FiddleSticks,Senna,Rakan
Urgot,Viego,Akali,Twitch,Lulu,True,Vladimir,Ekko,Naafiri,Caitlyn,Soraka
Jayce,Rengar,Akali,Sivir,Lulu,True,Yasuo,Nocturne,Ahri,Lux,Neeko
Teemo,Olaf,Zed,Yunara,Leona,True,Ryze,Talon,Hwei,Jinx,Bard
Vladimir,JarvanIV,TwistedFate,Yunara,Yuumi,True,Mordekaiser,Gwen,Qiyana,Jinx,Maokai
Smolder,JarvanIV,Katarina,Lucian,Nami,True,Yasuo,Udyr,Ahri,Caitlyn,Lux
Ambessa,Kayn,Orianna,Kaisa,Alistar,True,Syndra,Kindred,Diana,Jhin,Poppy
Vladimir,Zyra,Zed,Nilah,Thresh,False,Fiora,Hecarim,Syndra,Draven,Lulu
Ornn,Zac,Veigar,Yunara,Thresh,False,Urgot,Belveth,Zoe,Lucian,Yuumi
Renekton,Evelynn,Ryze,Jinx,Senna,True,Vayne,Diana,TwistedFate,Aphelios,Karma
Jax,Shyvana,Karma,Yunara,Braum,True,Yorick,Taliyah,Zed,Jinx,Morgana
Jayce,Khazix,Ahri,Yunara,Soraka,False,Gragas,Kindred,Rumble,Smolder,Nami
Vladimir,LeeSin,Akali,Caitlyn,Sona,False,DrMundo,Viego,Neeko,MissFortune,Aurora
Vayne,Kindred,Rumble,Jinx,Nami,False,Kled,Belveth,Leblanc,Zeri,Lulu
Vayne,Viego,Kennen,Jhin,Rell,True,Varus,Lillia,Yasuo,Sivir,Nami
KSante,Vi,Akali,Mel,Nami,False,Gwen,Ivern,Akshan,Karthus,Jax
Fiora,Shaco,Zac,Lucian,Sona,True,Jayce,Kindred,Hwei,Samira,Rell
Irelia,Viego,Syndra,Jhin,Rell,True,Jax,LeeSin,Hwei,Zyra,Amumu
Sion,Ekko,Aurora,Sivir,Rell,True,Yasuo,MonkeyKing,Zed,Karthus,Amumu
DrMundo,Rengar,Sylas,Caitlyn,Karma,True,Ambessa,LeeSin,Lissandra,Aphelios,Alistar
Ornn,Rengar,Aurora,Varus,Braum,True,Vladimir,LeeSin,Orianna,Senna,Alistar
Gwen,JarvanIV,Viego,Aphelios,Bard,True,Irelia,Kayn,Zoe,Draven,Zilean
Jax,Kindred,Akshan,Samira,Rell,True,Warwick,Rammus,Kayle,Vayne,Sona
Ambessa,Shyvana,Orianna,Varus,Lulu,False,Smolder,Kindred,Hwei,Seraphine,Morgana
Ambessa,Pantheon,Zoe,Varus,Rell,False,Renekton,Talon,Akshan,Veigar,Elise
Irelia,Morgana,Viktor,Jhin,Thresh,False,Riven,Maokai,Syndra,Vayne,Zyra
Ambessa,LeeSin,Aurora,Ezreal,Lulu,False,Ryze,Brand,Katarina,MissFortune,Alistar
Jayce,Ekko,Qiyana,Varus,Leona,False,Zilean,Kindred,Ahri,Jinx,Senna
DrMundo,Shyvana,Ivern,Zeri,Morgana,True,Gwen,Viego,Zed,Tristana,Xerath
Ambessa,Shyvana,Leblanc,Senna,Janna,False,Garen,Belveth,Hwei,Corki,Karma
Garen,Vi,Ahri,Lucian,Yuumi,False,Camille,Lillia,Morgana,Samira,Rell
Warwick,Volibear,Ahri,Ezreal,Karma,False,Jayce,LeeSin,Neeko,Jhin,Bard
Gragas,LeeSin,Akali,Ashe,Bard,True,Yone,JarvanIV,Hwei,Jhin,Blitzcrank
Ambessa,MonkeyKing,Vex,Lucian,Milio,False,DrMundo,Evelynn,Mel,Xayah,Thresh
Jax,Taliyah,Qiyana,Varus,Nautilus,False,Renekton,Shaco,Ekko,Lucian,Morgana
Ambessa,MonkeyKing,Ekko,Sivir,Milio,False,Kennen,JarvanIV,Zed,Kaisa,Neeko
Jayce,Nidalee,Akali,MissFortune,Nautilus,False,KSante,Zed,Singed,Zeri,Lulu
Aatrox,Rengar,Aurora,Jhin,Nautilus,True,Gwen,Shyvana,Qiyana,Sivir,Renata
Aatrox,RekSai,Ekko,Twitch,Zoe,True,Gwen,XinZhao,Aurora,Nilah,Rakan
Jayce,Jax,Akali,Xerath,Nami,False,Sett,XinZhao,Taliyah,MissFortune,Lux
Ambessa,JarvanIV,Ryze,Lucian,Thresh,False,Yorick,Viego,TwistedFate,Senna,Alistar
Jayce,Hecarim,Galio,Aphelios,Shaco,False,Yone,LeeSin,Azir,Vayne,Lulu
Irelia,JarvanIV,Annie,Tristana,Seraphine,False,Rumble,Viego,Syndra,Jinx,Rell
Sett,Nocturne,Kassadin,Draven,Seraphine,False,Vladimir,Kayn,Illaoi,Zeri,Swain
Fiora,Viego,Ahri,Jhin,Brand,False,Jax,Ivern,Akshan,Tristana,Soraka
Jax,Viego,Ahri,Aurora,Seraphine,False,Urgot,Skarner,Mel,Sivir,Milio
Kayle,Jax,Urgot,Jinx,Neeko,False,Singed,Shaco,Viktor,Jhin,Soraka
Malphite,Shyvana,Viktor,Ashe,Seraphine,True,Gwen,Nocturne,Kalista,Jhin,TwistedFate
Zyra,JarvanIV,Malzahar,Caitlyn,Karma,False,Jayce,Talon,Vladimir,Lucian,Sona
Irelia,Shaco,Taliyah,Caitlyn,Pyke,False,Gragas,Kindred,Yasuo,Tristana,Lulu
Jayce,Qiyana,Viktor,MissFortune,Nami,True,Rumble,Evelynn,Akshan,Lucian,Alistar
Anivia,Kayn,Orianna,Jhin,Shaco,True,Ambessa,JarvanIV,Syndra,MissFortune,Seraphine
MonkeyKing,XinZhao,TwistedFate,Kaisa,Rell,False,KSante,Khazix,Viktor,Lucian,FiddleSticks
Jax,JarvanIV,Vex,Twitch,Bard,False,DrMundo,XinZhao,TwistedFate,Sivir,Nami
Vladimir,Khazix,Sylas,Tristana,Poppy,True,Nidalee,Kayn,Ziggs,Jhin,Xerath
Gangplank,Ambessa,Galio,Ashe,Thresh,True,Aurora,XinZhao,Akali,Caitlyn,Bard
Jax,Zed,Lissandra,Varus,Renata,False,Yone,Belveth,Kled,Leblanc,Nami
Gangplank,XinZhao,Cassiopeia,Tristana,Alistar,True,Vladimir,Zac,Yone,Kaisa,Blitzcrank
Yone,LeeSin,Ahri,Ezreal,Karma,False,Rengar,JarvanIV,Akali,Lucian,Nami
Jayce,Evelynn,Chogath,Jinx,Lulu,False,Ambessa,JarvanIV,Ryze,Draven,Nautilus
Camille,MasterYi,Lux,Ashe,Blitzcrank,True,Jax,Khazix,Viktor,Draven,Nautilus
Ambessa,Karthus,Viktor,Xayah,Nautilus,False,Chogath,Khazix,Syndra,Kaisa,Bard
Ambessa,Nocturne,Aurora,Swain,Lulu,True,MonkeyKing,Belveth,Kassadin,Yunara,Bard
Ambessa,Kayn,Quinn,Draven,Rakan,False,Yone,Khazix,Karma,Jhin,Neeko
Jax,Diana,Ambessa,Sivir,Lulu,False,Renekton,Qiyana,Karma,Yasuo,Rell
Anivia,Belveth,Orianna,Draven,Nami,False,Aurora,RekSai,Karma,Jinx,Milio
