BLUE_TOP,BLUE_JUNGLE,BLUE_MIDDLE,BLUE_BOTTOM,BLUE_UTILITY,RED_WINNER,RED_TOP,RED_JUNGLE,RED_MIDDLE,RED_BOTTOM,RED_UTILITY
Aurora,Kayn,Morgana,Senna,Neeko,False,Corki,Hecarim,Velkoz,Twitch,Soraka
RekSai,Rammus,KogMaw,Yunara,Rell,False,Sett,Briar,Ryze,Sivir,Senna
Draven,LeeSin,Azir,MissFortune,Leona,True,Volibear,XinZhao,Neeko,Yunara,Lulu
Aatrox,Sylas,Viego,Swain,Thresh,False,Fiora,Khazix,Kassadin,Jhin,Zyra
Zoe,Nunu,Briar,Lucian,Rell,False,Renekton,Naafiri,Mel,Xayah,Rakan
Mordekaiser,Sylas,Corki,Kaisa,Alistar,False,Fiora,Pantheon,Syndra,Nilah,Anivia
Aurora,LeeSin,Irelia,Sivir,Elise,False,Jax,Khazix,Orianna,Smolder,Annie
Volibear,Khazix,Morgana,Yunara,Neeko,False,Shen,Sylas,Azir,Lucian,Nami
Sion,Sylas,Briar,Lucian,Sona,False,Camille,LeeSin,Ziggs,Jinx,Bard
RekSai,Sylas,Camille,Kaisa,Sona,False,Aurora,Vi,Taliyah,MissFortune,Pyke
Camille,JarvanIV,Morgana,Yunara,Velkoz,True,Aurora,Poppy,Ekko,Aphelios,Sona
Ambessa,Poppy,Taliyah,Swain,Pyke,False,Orianna,Qiyana,Aurora,Kaisa,Trundle
Ambessa,Viego,Lissandra,Morgana,Alistar,True,Irelia,Rammus,Azir,Sivir,Soraka
Udyr,Taliyah,Yone,Yunara,Sona,True,Volibear,Ivern,Azir,Jhin,Zoe
Lissandra,Khazix,Briar,Sivir,Seraphine,True,Jayce,Nunu,Morgana,Kaisa,Alistar
Ambessa,Shaco,Taliyah,Caitlyn,Neeko,True,Jax,Nunu,Morgana,Yunara,Thresh
Ambessa,Sylas,Tristana,Aphelios,Neeko,True,Jayce,Viego,Azir,Ashe,Poppy
Cassiopeia,Karthus,Yunara,Lucian,Milio,False,Yorick,JarvanIV,Ryze,Corki,Bard
Renekton,XinZhao,Morgana,Mel,Bard,True,Jax,Vi,Sylas,Yunara,Blitzcrank
Ornn,Karthus,Tristana,Aphelios,Neeko,False,Aatrox,Udyr,Akshan,Twitch,Lulu
Riven,Viego,Azir,Ziggs,Senna,True,Renekton,Brand,Akshan,Yunara,Lulu
Yasuo,Sylas,Irelia,Karthus,Nami,False,Kled,Shaco,Yone,Swain,Bard
RekSai,Pantheon,Katarina,Yunara,Nidalee,False,Zoe,Volibear,Irelia,Jinx,Zilean
Pantheon,Ekko,Galio,Senna,Rell,False,Jayce,Hecarim,Zoe,Ziggs,Alistar
Kennen,Sylas,Yunara,Caitlyn,Morgana,False,Irelia,Ambessa,Aurora,Twitch,Karma
Aatrox,Hecarim,Orianna,Tristana,Soraka,True,Cassiopeia,Viego,Akali,Yunara,Milio
Renekton,Nunu,Akali,Jhin,Elise,True,Ambessa,Volibear,Morgana,Jinx,Milio
Ornn,Rengar,Morgana,Ashe,Seraphine,False,Volibear,Nunu,TwistedFate,Caitlyn,Lux
Aatrox,Karthus,Aurora,Corki,Pyke,True,Ambessa,JarvanIV,Orianna,Jhin,Pantheon
Aatrox,Volibear,Aurora,Corki,Alistar,False,Darius,Mordekaiser,Annie,Yasuo,Sona
Ambessa,Shaco,Tristana,Jhin,Rakan,False,Kled,Volibear,Taliyah,Corki,Alistar
Renekton,Qiyana,Azir,Corki,Rakan,False,Aurora,XinZhao,Taliyah,Lucian,Braum
Sion,Zac,Morgana,Aphelios,Thresh,True,Gwen,Zed,Azir,Corki,Alistar
Mordekaiser,Zyra,Tristana,Yunara,Lulu,True,Gragas,Khazix,Morgana,Samira,Janna
Quinn,Gwen,Viktor,Corki,Senna,True,Renekton,Khazix,Morgana,Hwei,Seraphine
Shen,Belveth,Leblanc,Corki,Thresh,True,Jayce,Hecarim,Sylas,Ziggs,Nautilus
Aurora,Kayn,Qiyana,Corki,Karma,True,Quinn,Rumble,Taliyah,Jhin,Neeko
Azir,Hecarim,Lux,Lucian,Rell,True,Galio,Qiyana,Sylas,Aphelios,Senna
Riven,LeeSin,Sylas,Corki,Blitzcrank,True,Briar,Nidalee,Taliyah,Twitch,Thresh
Irelia,Qiyana,Sylas,Aphelios,Lulu,False,Sona,Talon,Kayle,Yunara,Nautilus
Sion,Gwen,Annie,Jhin,TahmKench,False,Mordekaiser,LeeSin,Veigar,Twitch,Rell
Renekton,Viego,Brand,Kaisa,Alistar,False,Ambessa,Diana,Sylas,Lucian,Nami
Azir,Volibear,Akshan,Corki,Xerath,True,Aurora,Ekko,Zeri,Jinx,Rell
Renekton,Poppy,Yunara,Lux,Teemo,True,Irelia,LeeSin,Aurora,Zyra,Bard
Janna,MonkeyKing,TwistedFate,Yunara,Teemo,True,Jax,Maokai,Sylas,Lux,Senna
Akali,Qiyana,Azir,Yunara,Lulu,True,Swain,Graves,Vex,Kaisa,Nautilus
Vayne,Qiyana,Ryze,Aphelios,Rakan,False,Irelia,Graves,Galio,Tristana,Neeko
Ornn,Belveth,Akshan,Zyra,Bard,False,Draven,Qiyana,Cassiopeia,Sivir,Morgana
Gangplank,Vi,Sylas,Kaisa,Alistar,False,Rumble,Khazix,Cassiopeia,Sivir,Rell
Malphite,Qiyana,Viktor,Corki,Pantheon,True,Aurora,XinZhao,Cassiopeia,Draven,Sona
Irelia,Karthus,Annie,Yunara,Senna,True,Riven,Gwen,Jayce,Veigar,Poppy
Poppy,Hecarim,Galio,Kaisa,Seraphine,False,Kled,Zed,Orianna,Xayah,Neeko
Aatrox,Sylas,Ezreal,Sivir,Karma,True,Kled,Zed,Azir,Ziggs,Blitzcrank
KSante,Shaco,Galio,Jinx,Thresh,False,Yorick,Sylas,Zed,Ezreal,Bard
Yone,Mordekaiser,Cassiopeia,Corki,Braum,True,Aurora,MonkeyKing,Azir,Ezreal,Karma
Gnar,Nocturne,Azir,Kaisa,Nautilus,True,Irelia,Qiyana,Taliyah,Corki,Braum
Ambessa,Ivern,Corki,Ezreal,Pyke,False,Renekton,Viego,Azir,Lucian,Nami
Azir,Pantheon,Sylas,Senna,Neeko,True,Yorick,Kayn,Taliyah,Draven,Alistar
Kindred,Rengar,Sylas,Corki,Pyke,True,Rumble,Qiyana,Kassadin,Lucian,Alistar
Urgot,LeeSin,Sylas,Syndra,Nami,False,Mordekaiser,Qiyana,Mel,Jinx,Rell
Jax,MonkeyKing,Ziggs,Riven,Rakan,False,Mordekaiser,Kindred,Azir,Ezreal,Nautilus
Garen,Zac,Aurora,Tristana,Janna,False,Gnar,Pantheon,Kaisa,Senna,Pyke
Irelia,Nautilus,Lucian,Yunara,Maokai,True,Jayce,Singed,Sylas,Jinx,Poppy
Sona,LeeSin,Azir,Jhin,Maokai,False,Olaf,Zac,Taliyah,Yunara,Leona
Yone,XinZhao,Nunu,Mel,Rakan,False,Aatrox,Gwen,Cassiopeia,Sivir,Maokai
Ambessa,XinZhao,Galio,Lucian,Rakan,False,Kled,Ivern,Leblanc,Corki,Braum
Poppy,Pantheon,Vladimir,Akshan,Neeko,False,Kled,Zyra,Tristana,Corki,Nautilus
Yone,Nautilus,Zoe,Lucian,Braum,True,Gnar,Sylas,Yasuo,Senna,Leona
Rumble,Belveth,Akshan,Caitlyn,Neeko,False,Ambessa,MonkeyKing,Orianna,Yunara,Nami
KSante,Viego,Kassadin,Swain,Thresh,False,Vladimir,Poppy,Orianna,Smolder,Shen
Gnar,Jax,Azir,Nilah,Lulu,False,Kled,Sylas,Viego,Twitch,Nautilus
Camille,RekSai,Galio,Aphelios,Thresh,False,Ornn,Kindred,Orianna,Jhin,Sona
Nocturne,Zed,Sylas,Nilah,Nidalee,True,Yorick,Ekko,Leblanc,Yunara,Sona
Ambessa,Vi,Kled,Mel,Rakan,True,Warwick,Gwen,Qiyana,Lucian,Neeko
Ambessa,Nunu,Cassiopeia,Corki,Sona,False,Sion,Ivern,Zoe,Zeri,Xerath
Garen,Ekko,Qiyana,Yunara,Rell,True,Kled,Sylas,Annie,Corki,Sona
Kennen,XinZhao,Annie,Jhin,Bard,False,Jax,Qiyana,Azir,Yunara,Leona
RekSai,Nautilus,Zoe,Yunara,Brand,True,Aatrox,Belveth,Fizz,Corki,Taric
Illaoi,Rengar,Hwei,Ezreal,Neeko,False,Jax,Sylas,Annie,Kaisa,Nautilus
Quinn,Ivern,Vladimir,Lucian,Milio,True,Olaf,Nautilus,Cassiopeia,Sivir,Sona
Yorick,LeeSin,Cassiopeia,Caitlyn,Sona,False,Jax,Udyr,Akshan,Yunara,Bard
Zilean,Poppy,Aurora,Mel,Nautilus,True,Nasus,Viego,Talon,Azir,Rakan
Irelia,Sylas,Orianna,Aphelios,Thresh,False,Renekton,Qiyana,Annie,Kaisa,Pantheon
Jayce,Nunu,Irelia,Lux,Rakan,True,Kled,Sylas,Azir,Jinx,Soraka
Riven,Shaco,Cassiopeia,Yunara,Rakan,False,Gragas,Belveth,Annie,Corki,Nami
Ambessa,JarvanIV,Akali,Yunara,Sona,True,Fiora,Corki,Aurora,Karthus,Leona
Gnar,Ekko,Irelia,Sivir,Renata,False,Poppy,Naafiri,Annie,Draven,Alistar
Riven,XinZhao,Sylas,Tristana,Yuumi,True,Zeri,Alistar,Cassiopeia,,
Renekton,Trundle,Ziggs,Lucian,Yuumi,False,Yunara,Nocturne,Orianna,Zeri,Alistar
Sion,Corki,Cassiopeia,Lux,Blitzcrank,True,Gragas,Sylas,Zeri,Yunara,Soraka
Ambessa,Nautilus,Corki,Varus,Velkoz,False,Renekton,Gwen,Akali,Ezreal,Neeko
Tryndamere,Kindred,Fizz,Kaisa,Pyke,True,Jayce,Ekko,Annie,Sivir,Rakan
Ambessa,Hecarim,Galio,Kalista,Pyke,False,Jax,Sylas,Kled,Yunara,Neeko
Shen,Sylas,Annie,Varus,Sion,False,Jax,Nautilus,Galio,Yunara,Senna
Kennen,Naafiri,Cassiopeia,Yunara,Lulu,False,Irelia,Sylas,Qiyana,MissFortune,Rakan
Aatrox,Sylas,Ambessa,Jinx,Lulu,False,Kled,Nunu,Aurora,Aphelios,Karma
Renekton,Sylas,Aurora,Zeri,Neeko,True,Viego,Qiyana,Ziggs,Yunara,Rakan
Jax,Sejuani,Sylas,Varus,Neeko,True,Kennen,Nidalee,Viego,Draven,Alistar
Lucian,Hecarim,Vladimir,Sivir,Leona,False,Aatrox,Zyra,Corki,Kalista,Senna
Riven,RekSai,Lissandra,Kalista,Karma,False,Viego,Talon,Galio,Aphelios,Soraka
Nocturne,Vi,Ahri,Singed,Poppy,True,Rumble,Trundle,Orianna,Tristana,Karma
Garen,RekSai,Syndra,Samira,Karma,False,Gnar,Ekko,Irelia,Jhin,Janna
Viego,Nautilus,AurelionSol,Twitch,Braum,True,Rumble,Rengar,Taliyah,Zeri,Alistar
Ivern,Belveth,Annie,Kaisa,Rell,False,Viego,Talon,Karthus,Smolder,Neeko
Tryndamere,Udyr,Viego,Karthus,Mel,True,Sion,Belveth,Annie,Ezreal,Nami
Camille,Gwen,Sylas,Jhin,Soraka,True,Gangplank,Rengar,Vex,Twitch,Neeko
Shen,Pantheon,Ryze,Draven,Sona,True,Aurora,Vi,Cassiopeia,Aphelios,Braum
Ambessa,Talon,Orianna,Corki,Alistar,False,Gwen,LeeSin,Annie,Yunara,Bard
Ambessa,Rengar,Akali,Yunara,Camille,False,Gwen,Ekko,Corki,Ezreal,Karma
Ambessa,Vi,Annie,Yunara,Braum,False,Rumble,Trundle,Akali,Tristana,Pyke
Nocturne,LeeSin,Milio,Ziggs,Braum,False,Vladimir,Olaf,Qiyana,Ezreal,Alistar
Sion,Kayn,Sylas,Corki,Nautilus,True,Chogath,Trundle,Azir,Twitch,Poppy
Jax,Olaf,Annie,Jinx,Shaco,False,Quinn,JarvanIV,Viktor,Corki,Rell
Jax,Trundle,Nunu,Ziggs,Bard,False,Singed,Olaf,Azir,Yunara,Lulu
Teemo,Olaf,Lissandra,Yunara,Rell,False,Garen,Belveth,Syndra,Ziggs,Alistar
Vi,MonkeyKing,TwistedFate,Mel,Nautilus,False,Quinn,Corki,Katarina,Sivir,Neeko
Yorick,Belveth,Ryze,Ziggs,Alistar,False,Aurora,Zed,Gangplank,Yunara,Janna
Azir,Qiyana,Vladimir,Corki,Poppy,True,Ornn,JarvanIV,AurelionSol,Lucian,Yuumi
Tryndamere,Belveth,Akali,Draven,Nautilus,False,Nocturne,Naafiri,Kled,Ziggs,Velkoz
Ambessa,Gwen,Naafiri,Aphelios,Karma,True,Renekton,Viego,Aurora,Tristana,Elise
Jayce,LeeSin,Viktor,Yunara,Xerath,True,Malphite,Poppy,Orianna,Twitch,Lulu
Tryndamere,Vi,Aurora,Jhin,Pyke,False,Ambessa,JarvanIV,Ziggs,MissFortune,Alistar
Aurora,Pantheon,Annie,Lucian,Nami,False,Yorick,JarvanIV,Azir,Yunara,Elise
Gwen,LeeSin,Ekko,Yunara,Rell,True,Ambessa,Ivern,Cassiopeia,Draven,Leona
Sion,Ambessa,Annie,Yunara,Nautilus,True,Gwen,Tryndamere,Azir,Ziggs,Poppy
Sion,Viego,Syndra,Ziggs,Blitzcrank,True,Gwen,Nidalee,Yone,Ezreal,Bard
Orianna,Gwen,Fiora,Draven,Thresh,True,Aurora,Udyr,Irelia,Jhin,Bard
Vayne,Viego,Annie,Yunara,Soraka,True,Nocturne,Belveth,Cassiopeia,Jinx,Blitzcrank
Jayce,Gwen,Corki,MissFortune,Leona,True,Ambessa,Belveth,Annie,Varus,Renata
Fiora,MasterYi,TwistedFate,Sivir,Zilean,True,Riven,Gwen,Annie,Zeri,Lulu
Aurora,MonkeyKing,Ryze,Yunara,Braum,True,Camille,Sejuani,Orianna,Kaisa,Alistar
Aurora,Trundle,Leblanc,Yunara,Bard,True,Jayce,Talon,Ziggs,Tristana,Lulu
Gwen,JarvanIV,Leblanc,Kaisa,Poppy,False,Riven,MonkeyKing,Aurora,Lucian,Sona
Irelia,Vi,Aurora,Lux,Blitzcrank,False,Rumble,Talon,Viktor,Jinx,Rell
Gnar,Talon,Neeko,Twitch,Soraka,True,Nocturne,MonkeyKing,Orianna,Lucian,Nami
Camille,Qiyana,Galio,Lucian,Braum,False,Gragas,JarvanIV,Orianna,Yunara,Alistar
Ambessa,RekSai,Azir,Ziggs,Anivia,False,Garen,JarvanIV,Orianna,Lucian,Nami
Gwen,JarvanIV,Annie,Kalista,Thresh,True,Aurora,MonkeyKing,Taliyah,Yunara,Renata
Gnar,XinZhao,Aurora,Ashe,Gragas,False,Sylas,Nidalee,Corki,Lucian,Sona
Akali,MonkeyKing,Velkoz,Tristana,Nautilus,True,Ambessa,Viego,Annie,Aphelios,Braum
Kennen,Gwen,Corki,Sivir,Poppy,False,Vladimir,LeeSin,Taliyah,Senna,Maokai
Jax,JarvanIV,Viktor,Kaisa,Pyke,False,Vladimir,Zed,Azir,Corki,Leona
Aurora,XinZhao,Galio,Corki,Neeko,True,Fiora,JarvanIV,Orianna,Jinx,Thresh
Camille,Naafiri,Aurora,Yunara,Poppy,True,Azir,Talon,Cassiopeia,Senna,Fiora
Vladimir,Viego,Ziggs,Varus,Nautilus,True,Aatrox,MonkeyKing,Azir,Yunara,Braum
Vladimir,XinZhao,Akali,Draven,Alistar,False,Jayce,Volibear,Neeko,Tristana,Leona
Sett,Nunu,Orianna,Aphelios,Thresh,False,Zoe,Talon,Sylas,Corki,Blitzcrank
Jax,XinZhao,Irelia,Aphelios,Soraka,True,KSante,JarvanIV,Cassiopeia,Seraphine,Sona
KSante,Udyr,Corki,Yunara,Nami,True,Ambessa,JarvanIV,Annie,Tristana,Alistar
Warwick,Volibear,Naafiri,Jinx,Lulu,False,Kled,Udyr,Zed,Aphelios,Thresh
DrMundo,Diana,Taliyah,Varus,Thresh,True,Kled,Poppy,Viktor,Xayah,Rakan
DrMundo,RekSai,Viktor,Kaisa,Pyke,False,Sion,JarvanIV,Galio,Ezreal,Lulu
Gnar,Nocturne,Anivia,Lucian,Nami,True,RekSai,JarvanIV,Corki,Swain,Rell
Renekton,LeeSin,Orianna,Ashe,Soraka,False,KSante,RekSai,Vladimir,Samira,Nautilus
Gragas,JarvanIV,Taliyah,Yunara,Alistar,True,Ambessa,Sejuani,Azir,Yone,Pantheon
Azir,Poppy,Ivern,Brand,Fiora,True,Rumble,Volibear,Corki,Kaisa,Alistar
Ambessa,Kindred,Ryze,Aphelios,Rell,False,Sejuani,Poppy,Ivern,Kaisa,Sona
Azir,MonkeyKing,Ivern,Yunara,Amumu,True,Fiora,FiddleSticks,Corki,Kaisa,Rell
Ornn,Belveth,Taliyah,Yunara,Neeko,False,Gwen,Kayn,Ziggs,Twitch,Rell
Swain,Gwen,Corki,Lucian,Nami,False,Jayce,Kindred,Ekko,Jhin,Bard
Renekton,Taliyah,Sylas,Yunara,Alistar,False,Vladimir,Sejuani,Yasuo,Jinx,Hwei
Yone,JarvanIV,Syndra,Xayah,Pyke,True,Kled,Poppy,Lux,Kaisa,Bard
Ambessa,Zac,Corki,Nilah,Lulu,False,Riven,Gragas,Yasuo,Sivir,Sona
Yone,Janna,Ekko,Ziggs,,True,Renekton,JarvanIV,Lux,Kaisa,Nautilus
Fiora,LeeSin,Sylas,Yunara,Alistar,False,Sejuani,Belveth,Orianna,Kaisa,Janna
Jax,Brand,Corki,Yunara,Bard,True,Fiora,Hecarim,Taliyah,Sivir,Neeko
Aatrox,Naafiri,Aurora,Syndra,Poppy,True,Jayce,Zed,Kayle,Corki,Shaco
Vladimir,Trundle,Syndra,Ezreal,Karma,False,Zilean,Nidalee,Corki,Senna,TahmKench
Varus,MonkeyKing,Galio,Yunara,Braum,True,Aurora,Pantheon,Taliyah,Sivir,Pyke
Rumble,Vi,Taliyah,Varus,Neeko,False,Olaf,Nunu,Annie,Corki,Thresh
Ambessa,Skarner,Hwei,Yunara,Bard,False,Qiyana,Talon,Ziggs,Tristana,Nautilus
